Group,Category,Criteria,Rating,Rationale
Prevention,Travel (external),All necessary warnings and restrictions on travel to and from the country are in place,1,"No restrictions on incoming passengers excluding China and Iran, in spite of major outbreaks in Europe. Ongoing imporation of new cases is all but certain."
Prevention,Screening ,Screenings of arrivals at airports and other crossings are adequate,1,No screening of incoming passengers excluding China and Iran
Detection,Capacity,"The needed tests, including kits, reagents, and lab processing capacity, are available. ",2,Availability of tests is improving but continues to be an issue. CDC confirmed counts lag significantly behind state numbers.
Detection,Affordability,"If tests are available, are they free or easily affordable by everyone who needs one",1,Tests only covered by insurance if patient meets CDC guidelines
Detection,Guidelines,Guidelines regarding eligibility for testing are appropriate for the situation.,0,CDC recommends local providers use their judgement
Response,Communication,Communications (1) clearly and accurately describe the current status in fighting the pandemic (2) clearly and accurately reflect the risks (3) provide citizens with clear guidance for necessary precautions and actions.,2,"Communication varies from good to dangerously inaccurate, with the latter usually originating from the President or White House officials."
Response,Mobilization,An adequate number of emergency  and security personnel are available. These personnel have adequate PPE ,3,"There have been no shortages of personnel to date, although there have been instances reported where responders lacked equipment and risked infection. At least 12 states have declared emergencies giving them the ability to use the national guard for quarantine, security, and other opeations."
Response,Travel (internal),Any domestic travel restrictions or warnings needed are in place. Includes community quarantines.,1,No domestic travel restrictions in place nationally; few if any state or local restrictions are in place.
Response,Closings,"Any school, business, religious, or government closings needed are in place. ",2,"No national closing requirements or recommendations are in place. Few if any required closings at the state or local level. Numerous voluntary closings, especially among universities and colleges. "
Response,Gatherings,"Any warnings, restrictions, or bans on public gatherings needed to disrupt the spread are in place.",2,"No national restrictions or warnings in place. A few scattered bans on gatherings at the local level, sometimes directed at a specific event, or with multiple exclusions. "
Health System,Capacity,The health system has the capacity to treat the likely number of patients given prevention and response efforts,1,"Weak prevention, detection and response policies suggest a rapid increase in patients, that will likely outstrip ICU availabilty and the need for critical equipment like respirators"
Health System,Protection,All healthcare workers have access to the necessary PPE,2,Data is limited by there have been some reports that not all healtcare workers have sufficient protection
Political System,Capability,"The government has the resources (money, expertise, processes) and means to apply them to the pandemic ",4,"The government has, or has the ability to aquire, all the resources necessary to fight the pandemic "
Political System,Will,The political will to take the necessary steps is demonstrably present,1,There is little or no evidence of intent by the federal government to actively fight the spread of the pandemic.
